,ADDED_BY_USER,DTTM_RCD_ADDED,UPDATED_BY_USER,POLICY_ID,POLICY_NAME,POLICY_NUMBER,POLICY_STATUS_CODE,INSURER_EID,ISSUE_DATE,REVIEW_DATE,RENEWAL_DATE,EFFECTIVE_DATE,EXPIRATION_DATE,CANCEL_DATE,PREMIUM,TRIGGER_CLAIM_FLAG,PRIMARY_POLICY_FLG,COMMENTS,DTTM_RCD_LAST_UPD,BROKER_EID,BANK_ACC_ID,SUB_ACC_ROW_ID,HTMLCOMMENTS,ALL_STATES_FLAG,POLICY_SYSTEM_ID,POLICY_LOB_CODE,POLICY_SYMBOL,EXTERNAL_POLICY_ID,CURRENCY_CODE,MODULE,MASTER_COMPANY,LOCATION_COMPANY,BRANCH_CODE,LEGACY_UNIQUE_IDENTIFIER,INVALID_IND,PAID_TO_DATE,ISSUE_SYSTEM,RESINSURANCE_FLAG,RETRO_DATE,TAIL_DATE,REINSURANCE_CODE,EXTERNAL_POLICY_KEY,MASTER_COMPANY_DESC,INJURY_MGT_PROGRAM_CODE,CANCEL_REASON_CODE,GST_RATE,GST_AMOUNT,ITC_RATE,PREMIUM_WO_GST,PRODUCT_TYPE,PRODUCT_SUB_TYPE,REPT_PRODUCT_TYPE,ISSUE_STATE,MAJOR_LOB,FACE_AMOUNT,CONTESTABLE,INSURED_INDICATOR,ANNUITY_QUAL_TYPE,PAR_TYPE,ADMIN_PAID_DATE,PLAN_CODE,REGION,CLIENT_PROG_ID,UMR_ROW_ID,PROCESSED
91,LGarrets,20140922125631,LGarrets,148841,PEL004085303,0040853,212,0,,,,20130930,20140930,,0.0,0,-1,,20140922125631,0,0,0,,0,1,7927,PEL,,26723,03,05,00,,173546,0,,,0,,,0,"PEL,0040853,03,05,00",,,,,,,,,,,,,,,,,,,,,,,
92,ARodstro,20130417151722,MHerman,148862,UFP004204602,0042046,212,0,,,,20130101,20140101,,0.0,0,-1,,20130625154807,0,0,0,,0,1,27061,UFP,,26723,02,01,00,,148672,0,,,0,,,0,"UFP,0042046,02,01,00",,,,,,,,,,,,,,,,,,,,,,,
93,KGaspard,20150127124456,KGaspard,148864,AGL000632801,0006328,212,0,,,,20141115,20151115,,0.0,0,-1,,20150127124456,0,0,0,,0,1,6857,AGL,,26723,01,01,00,,177611,0,,,0,,,0,"AGL,0006328,01,01,00",,,,,,,,,,,,,,,,,,,,,,,
94,ARodstro,20160503164820,ARodstro,148870,AGL000892401,0008924,212,0,,,,20150202,20160202,,0.0,0,-1,,20160503164820,0,0,0,,0,1,6857,AGL,,26723,01,01,00,,192997,0,,,0,,,0,"AGL,0008924,01,01,00",,,,,,,,,,,,,,,,,,,,,,,
95,TCON3A,20120813114918,TCON3A,148901,FIF000945503,0009455,212,0,,,,20080815,20090815,,0.0,0,-1,,20120813114918,0,0,0,,0,1,7927,FIF,,26723,03,01,00,10,116154,0,,,0,,,0,"FIF,0009455,03,01,00",,,,,,,,,,,,,,,,,,,,,,,
96,ARodstro,20130417150507,ARodstro,148927,UFP004204601,0042046,212,0,,,,20120101,20130101,,0.0,0,-1,,20130417150507,0,0,0,,0,1,27061,UFP,,26723,01,01,00,,148670,0,,,0,,,0,"UFP,0042046,01,01,00",,,,,,,,,,,,,,,,,,,,,,,
97,TCON1A,20120316043106,TCON1A,148947,72UFP1326600,7213266,212,0,,,,20030101,20040101,,0.0,0,-1,,20120316043106,0,0,0,,0,1,27061,UFP,,26723,00,01,00,10,78575,0,,,0,,,0,"UFP,7213266,00,01,00",,,,,,,,,,,,,,,,,,,,,,,
98,TCON3A,20120314043142,TCON3A,148957,UFP000351603,0003516,212,0,,,,20080101,20090101,,0.0,0,-1,,20120314043142,0,0,0,,0,1,27061,UFP,,26723,03,01,00,10,43630,0,,,0,,,0,"UFP,0003516,03,01,00",,,,,,,,,,,,,,,,,,,,,,,
99,TCON2A,20120922205327,TCON2A,148964,11CAA5494402,1154944,212,0,,,,20081215,20091215,20091215,0.0,0,-1,,20120922205327,0,0,0,,0,1,26319,CAA,,26723,02,05,00,01,138732,0,,,0,,,0,"CAA,1154944,02,05,00",,,,,,,,,,,,,,,,,,,,,,,
100,TCON2A,20120923021719,TCON2A,148973,11CAA5488603,1154886,212,0,,,,20091215,20101215,20101215,0.0,0,-1,,20120923021719,0,0,0,,0,1,26319,CAA,,26723,03,05,00,01,142501,0,,,0,,,0,"CAA,1154886,03,05,00",,,,,,,,,,,,,,,,,,,,,,,
101,JVictori,20160119180352,JVictori,149004,WCX002958605,0029586,212,0,,,,20131001,20141001,,0.0,0,-1,,20160119180352,0,0,0,,0,1,26327,WCX,,26723,05,05,00,,189190,0,,,0,,,0,"WCX,0029586,05,05,00",,,,,,,,,,,,,,,,,,,,,,,
102,TCON1A,20120815210512,KRager,149010,11WCX5938500,1159385,212,0,,,,20070701,20080701,,0.0,0,-1,,20150707115415,0,0,0,,0,1,26327,WCX,,26723,00,05,00,10,119479,0,,,0,,,0,"WCX,1159385,00,05,00",,,,,,,,,,,,,,,,,,,,,,,
103,TCON2A,20120922202714,TCON2A,149012,11CAA5480002,1154800,212,0,,,,20081015,20091014,20091014,0.0,0,-1,,20120922202714,0,0,0,,0,1,26319,CAA,,26723,02,05,00,01,138362,0,,,0,,,0,"CAA,1154800,02,05,00",,,,,,,,,,,,,,,,,,,,,,,
104,LGarrets,20140701141520,LGarrets,149040,APL000700508,0007005,212,0,,,,20130601,20140601,,0.0,0,-1,,20140701141520,0,0,0,,0,1,26325,APL,,26723,08,01,00,,160745,0,,,0,,,0,"APL,0007005,08,01,00",,,,,,,,,,,,,,,,,,,,,,,
105,LGarrets,20130903085310,LGarrets,149099,BPL000801607,0008016,212,0,,,,20120630,20130630,,0.0,0,-1,,20130903085310,0,0,0,,0,1,7927,BPL,,26723,07,05,00,,152571,0,,,0,,,0,"BPL,0008016,07,05,00",,,,,,,,,,,,,,,,,,,,,,,
106,TCON4A,20120922183535,TCON4A,149128,11XLP1585501,1115855,212,0,,,,20040220,20050220,,0.0,0,-1,,20120922183535,0,0,0,,0,1,26324,XLP,,26723,01,05,00,01,136990,0,,,0,,,0,"XLP,1115855,01,05,00",,,,,,,,,,,,,,,,,,,,,,,
107,TCON2A,20120922190534,TCON2A,149136,APL000737103,0007371,212,0,,,,20080601,20090601,,0.0,0,-1,,20120922190534,0,0,0,,0,1,26325,APL,,26723,03,01,00,01,137331,0,,,0,,,0,"APL,0007371,03,01,00",,,,,,,,,,,,,,,,,,,,,,,
108,TCON3A,20120314043122,TCON3A,149175,UFP000351600,0003516,212,0,,,,20050101,20060101,,0.0,0,-1,,20120314043122,0,0,0,,0,1,27061,UFP,,26723,00,01,00,10,43619,0,,,0,,,0,"UFP,0003516,00,01,00",,,,,,,,,,,,,,,,,,,,,,,
109,JVictori,20140609181431,JVictori,149306,WCX003431200,0034312,212,0,,,,20090801,20100801,,0.0,0,-1,,20140609181431,0,0,0,,0,1,26327,WCX,,26723,00,05,00,,160159,0,,,0,,,0,"WCX,0034312,00,05,00",,,,,,,,,,,,,,,,,,,,,,,
110,SLuniews,20160513105223,SLuniews,149329,PRP005916500,0059165,212,0,,,,20151001,20161001,,0.0,0,-1,,20160513105223,0,0,0,,0,1,27060,PRP,,51848,00,06,00,,193361,0,,,0,,,0,"PRP,0059165,00,06,00",,,,,,,,,,,,,,,,,,,,,,,
111,KGaspard,20150224151843,KGaspard,149333,AGL000489101,0004891,212,0,,,,20141005,20151005,,0.0,0,-1,,20150224151843,0,0,0,,0,1,6857,AGL,,26723,01,01,00,,178431,0,,,0,,,0,"AGL,0004891,01,01,00",,,,,,,,,,,,,,,,,,,,,,,
112,JVictori,20121010134134,JVictori,149340,11WCX5941900,1159419,212,0,,,,20070701,20080701,,0.0,0,-1,,20121010134134,0,0,0,,0,1,26327,WCX,,26723,00,05,00,,143548,0,,,0,,,0,"WCX,1159419,00,05,00",,,,,,,,,,,,,,,,,,,,,,,
113,LBiga,20131104092310,LBiga,149363,AGL000184800,0001848,212,0,,,,20130626,20140626,20140626,0.0,0,-1,,20131104092310,0,0,0,,0,1,6857,AGL,,26723,00,01,00,,154200,0,,,0,,,0,"AGL,0001848,00,01,00",,,,,,,,,,,,,,,,,,,,,,,
114,ARodstro,20160219115437,ARodstro,149376,AGL000766601,0007666,212,0,,,,20141231,20151231,,0.0,0,-1,,20160219115437,0,0,0,,0,1,6857,AGL,,26723,01,01,00,,190281,0,,,0,,,0,"AGL,0007666,01,01,00",,,,,,,,,,,,,,,,,,,,,,,
